Frequency (Hz),Average dB
15,148.01428571428568
20,132.3
25,129.1
30,130.42307692307693
35,127.02352941176471
40,125.6
45,128.0
50,127.6
55,129.26153846153846
60,129.72307692307692
65,126.56470588235295
70,127.67647058823529
75,127.78823529411765
80,128.3
85,128.25
90,129.2
95,129.95
100,129.7
105,130.3
110,131.1
115,129.1
120,129.7
125,129.5
130,129.51428571428573
135,129.92857142857142
140,130.14285714285717
145,130.15714285714284
150,129.57142857142858
155,129.98571428571427
160,130.4
165,130.2875
170,129.975
175,130.0625
180,130.15
185,130.8375
190,130.525
195,130.2125
200,130.5
